dataset,cmdCode,rows,world_rows,fallback_rows,median_gap_pct,mean_gap_pct,median_detail_to_world_ratio
cobalt_drc,260500,6,5,1,87.24963929244012,81.8400665970299,0.5722160076861832
cobalt_drc,282200,6,6,0,-9272.028425449545,-21286.750073012885,0.7645050567201903
cobalt_drc,810520,6,2,4,100.0,99.95001168471869,1.0
lithium_zimbabwe,253090,6,6,0,11.702257322487782,-10.164206132315554,0.9987205303598854
lithium_zimbabwe,282520,3,1,2,100.0,100.0,1.0
lithium_zimbabwe,283691,4,3,1,99.99991775636062,99.91875790676578,1.0
copper_zambia,260300,6,6,0,42.35005046089782,-103.4412134812834,0.94395192222128
copper_zambia,740200,6,6,0,-39.31674170281526,-45.10578729734215,0.9854901568078376
copper_zambia,740311,6,6,0,-133.91317511816996,-150.37679074640457,0.9573403843642079
copper_drc,260300,6,6,0,-123.62233980479337,-201.6297944698372,0.41462637051177775
copper_drc,740200,6,6,0,35.46002593447092,43.233460351001916,0.8605660908363388
copper_drc,740311,6,6,0,-137.7642868764152,-131.9006658215897,0.6651005102658349
